transfer_date,amount,reference_number,outcome_code
20240808,10000,7be916198f31494ea110b276239397b8,0000
20240808,10000,32a38ad2e986406caebd2fa15e1cfe48,0000
20240808,10000,e8212771fffa4b6b90a91f78e27a6d9f,0000
20240808,10000,320cd01e1b884d52b6aedbd7d75c389d,0000
20240808,10000,b37af4a4d16f4e489263edbf61fbd0b1,0000
20240808,10000,e155f9445366408b9d3fae2a6e3876d2,0000
20240808,10000,3750689b0d374b48ab7984a5ac9fcddc,0000
20240808,10000,bf6b54e96d7b43e68b6726e78c6c90e1,0000
20240808,10000,b74afa81f46f4c098b0e68fd437b43ed,0000
20240808,10000,9e25bed87dee4f4685cf3cef99b09887,0000
20240808,10000,1370781ec15d4b93b9c9619c03d8c14e,0000
20240808,10000,3cf3af804b234fceab3edc40d50a0734,0000
20240808,10000,67d70038e6344863a6b0e2c68fbb36ca,0000
20240808,10000,8d94d83f8eaf4f68ae4a702d31692234,0000
20240808,10000,d979761880d943faa9e63ca38b16783b,0000
20240808,10000,8dedcf4f6be845709691aa7f8809fbbb,0000
20240808,10000,c858144ae9d04a58a6ea76df0254c536,0000
20240808,10000,2c89da86847d48c5a0f46db4e27c6319,0000
