transfer_date,amount,reference_number,outcome_code
20240808,10000,09d19a1bce4f4a2eb602ced69b0397cd,0000
20240808,10000,131f1e463a22453a9a20f667b0ffc808,0000
20240808,10000,60c279378bf34452a2526ed1affeff2f,0000
20240808,10000,9ca457093a1347eabd7a67cfd6e14b68,0000
20240808,10000,047765cef9e0486f88466bb07e9410a8,0000
20240808,10000,dde8aab9b9c6496f8b670d1d53a035a8,0000
20240808,10000,814474ea84e3446887ce1b8d52a5c5c7,0000
20240808,10000,9fc9dab659a14114b90e9196a812dbf1,0000
20240808,10000,474b09f938844ba59a307b93ecf24ec6,0000
20240808,10000,b98a51b849e44df58b75bcb2af057efc,0000
20240808,10000,991bc81878f447de9b215d73ab1f31a7,0000
20240808,10000,ac7240329a8749d09f91deeeced1e9b7,0000
20240808,10000,4af3615811c740e8bd970fb6841dd430,0000
20240808,10000,8136c7099b4f490286b4a3a4eca5aaf7,0000
20240808,10000,1679aeb11e954e20a8b0689be0f0cac7,0000
20240808,10000,4cde36bf9d4a4b6eb654ba8107b88085,0000
20240808,10000,f4b4fb733f9c46beb2bcd6750eff64db,0000
20240808,10000,3cc8594cfd1e457b9c34cc9243548b13,0000
