transfer_date,amount,reference_number,outcome_code
20240808,10000,4dcf31545f8d45ba8b9f6afc1359de4e,0000
20240808,10000,13c428897cbe4643b8f6eb9b3ed439e7,0000
20240808,10000,ddc514fd020942fa80a04c2847d2ec60,0000
20240808,10000,e3bb2944cf2247cd87c8a0e78e10f9a9,0000
20240808,10000,79c13cc60934455b85505f2455bd2994,0000
20240808,10000,2a6409ac79c246d6bd50990171054a6a,0000
20240808,10000,7003dfff679749bbb854fd6a264ef861,0000
20240808,10000,7a0fd59253c2460e9a066ccb4dd94f8d,0000
20240808,10000,2f553dae655b46728ffa92e9b74153fd,0000
20240808,10000,6f9a8bc42bef4e328b0d3ebfd79ff726,0000
20240808,10000,8db2538a2e524bcd9ff416d0b68c3c2c,0000
20240808,10000,72ee38defb344ec1b70d04aebf1fab16,0000
20240808,10000,5276bb12833b4504b703e7172fbc17a1,0000
20240808,10000,7e919f86e4464fea9aeab1505451c9d7,0000
