transfer_date,amount,reference_number,outcome_code
20240808,10000,0192d9f35eec4acc8c13e19a701fde72,0000
20240808,10000,d964f327cda24734a9dce05c57318126,0000
20240808,10000,bad6a7aad8154364a90b53756571f915,0000
20240808,10000,8b0326b4df924f89b0ffc2c638319a0f,0000
20240808,10000,79ec4a6192d245d59a06ea0351f12936,0000
20240808,10000,2807016ea27147b3a05c4d433f503e8d,0000
20240808,10000,754055474d1148baa1f11a35aa92fccb,0000
20240808,10000,78e798254d0241ab951e6005e1f4fd2c,0000
20240808,10000,e2e66a7989a549ddbdaff3da564fa9ad,0000
20240808,10000,cedc10675c3b41ba8f4506c65a417981,0000
20240808,10000,dd791c4fd3ec42ff95a28d251027cfbb,0000
20240808,10000,f12917de5bab4e35af9f4d6ac388629f,0000
