transfer_date,amount,reference_number,outcome_code
20240808,10000,66396174566e4666bfbbf5daf2834f51,0000
20240808,10000,0d6af7bc3c5446d2b6445120e1cd5f46,0000
20240808,10000,40661fa3dc21488a88cb5c42ce41ac8b,0000
20240808,10000,34193860721b4a60b8cf20b836905359,0000
20240808,10000,f3bea5838d8e443e9d6d133a7be9f92d,0000
20240808,10000,2f799ca2a7f0457cba33aab0dcf34653,0000
20240808,10000,2478a1df2aca4d6c9776a462bcb05abf,0000
20240808,10000,31007ff1e673429a9612338f427fa044,0000
20240808,10000,401b39151ec94892ab9a23e943ac75ab,0000
20240808,10000,c556045eef7b49cab5f7e065e7f880d2,0000
20240808,10000,2042fb326c234c7cbba2b52ec515e7aa,0000
20240808,10000,180b98d265a44c4393c49c7f497efbb6,0000
