transfer_date,amount,reference_number,outcome_code
20240808,10000,aead3693e49441dbbde46147503daea7,0000
20240808,10000,95053cd7ea1144c897d8347249a9bfda,0000
20240808,10000,29c1ee0eb8614e14aca50d2fabadeaf4,0000
20240808,10000,1e07b1fde86e4c86b4854ec3a4e96c78,0000
20240808,10000,a1b1547bcecf4ba0aba37596df3f0ed1,0000
20240808,10000,bb6afc300eff4c87a294bc9783cfd074,0000
20240808,10000,07fa83d012ae416fb7d982938ec2fa71,0000
20240808,10000,cb50c0e708824fd4ac413459ed575a3b,0000
20240808,10000,7262486e6a114a2a846be173bc6e01c6,0000
20240808,10000,d67be2f2370b47a7afaf184bbf0e5b10,0000
20240808,10000,bbdc5d5cef85445fb7c97d8bbebbaffd,0000
20240808,10000,ff6a1cad23124870bc980ad1b5c80ac7,0000
